Springfield,37.1943,-93.2916,MO
The Woodlands,30.1738,-95.5134,TX
Shreveport,32.4653,-93.7955,LA
Trenton,40.2237,-74.7641,NJ
Plano,33.0502,-96.7486,TX
Round Lake Beach,42.3791,-88.0811,IL
South Bend,41.6767,-86.2696,IN
Savannah,32.0286,-81.1821,GA
Newark,40.7245,-74.1725,NJ
Davenport,41.5565,-90.6053,IA
Myrtle Beach,33.7094,-78.8844,SC
Lincoln,40.8099,-96.6784,NE
Rockford,42.2596,-89.064,IL
Reading,40.34,-75.9267,PA
Canton,40.8078,-81.3676,OH
Irvine,33.6772,-117.7738,CA
Eugene,44.0564,-123.1174,OR
Chula Vista,32.6281,-117.0144,CA
St. Petersburg,27.7931,-82.6652,FL
Salem,44.9233,-123.0244,OR
Lafayette,30.2082,-92.0325,LA
Laredo,27.5625,-99.4874,TX
Jersey City,40.7184,-74.0686,NJ
Santa Clarita,34.4175,-118.4964,CA
Aguadilla,18.4382,-67.1537,PR
Wilmington,34.2099,-77.8866,NC
Lubbock,33.5657,-101.8879,TX
Chandler,33.2825,-111.8514,AZ
Scottsdale,33.6872,-111.8651,AZ
Tallahassee,30.4551,-84.2527,FL
Montgomery,32.3482,-86.2668,AL
Peoria,40.752,-89.6154,IL
Glendale,33.5791,-112.2311,AZ
Columbus,32.51,-84.8771,GA
Anchorage,61.1508,-149.1091,AK
Gilbert,33.31,-111.7463,AZ
North Las Vegas,36.2883,-115.0888,NV
Avondale,33.3873,-112.3235,AZ
McKinney,33.2016,-96.667,TX
Norfolk,36.8945,-76.259,VA
Chesapeake,36.6778,-76.3023,VA
Kennewick,46.1978,-119.1732,WA
Winter Haven,28.0118,-81.7014,FL
Irving,32.8583,-96.9702,TX
Garland,32.91,-96.6304,TX
York,39.9651,-76.7315,PA
Concord,35.3933,-80.6369,NC
Arlington,38.8786,-77.1011,VA
Atlantic City,39.3797,-74.4527,NJ
Visalia,36.3276,-119.3269,CA
Fremont,37.5265,-121.9843,CA
Hialeah,25.8696,-80.3045,FL
Nashua,42.7491,-71.491,NH
Killeen,31.0753,-97.7297,TX
Gulfport,30.4274,-89.0704,MS
Brownsville,25.9975,-97.458,TX
Evansville,37.9881,-87.5341,IN
Appleton,44.278,-88.3892,WI
Navarre,30.4174,-86.8907,FL
Bel Air South,39.5022,-76.3113,MD
Kalamazoo,42.2749,-85.5882,MI
Bremerton,47.5436,-122.7121,WA
Spring Valley,36.0952,-115.2636,NV
San Bernardino,34.1416,-117.2943,CA
Roanoke,37.2785,-79.9581,VA
Spartanburg,34.9442,-81.9251,SC
Tacoma,47.2431,-122.4531,WA
Enterprise,36.0091,-115.2278,NV
Green Bay,44.5148,-87.9895,WI
Portland,43.6773,-70.2715,ME
Thousand Oaks,34.1914,-118.8756,CA
Fontana,34.0968,-117.4599,CA
Hickory,35.741,-81.3223,NC
Moreno Valley,33.9244,-117.2045,CA
Deltona,28.905,-81.2137,FL
Fargo,46.8651,-96.8292,ND
Santa Barbara,34.4285,-119.7202,CA
College Station,30.5852,-96.2959,TX
Gainesville,29.6804,-82.3459,FL
Amarillo,35.1984,-101.8316,TX
Norwich,41.5495,-72.0882,CT
Olympia,47.0417,-122.8959,WA
Yonkers,40.9466,-73.8673,NY
Huntington Beach,33.696,-118.0018,CA
Glendale,34.1819,-118.2468,CA
Aurora,41.7638,-88.2902,IL
Huntington,38.4109,-82.4345,WV
Sunrise Manor,36.1783,-115.0487,NV
North Port,27.0576,-82.1977,FL
